Vehicle,Route,OnwardReturn,TripStart,TripEnd,TotalDistance,DurationMinutes,AverageSpeed,ActualGPSDistance,GPSShortestDistance,GPSExtraDistance,GPSDeviationScore,RouteOutlier,TimeOutlier,GPSPatternOutlier,ShortestPathOutlier,RiskScore,RiskLevel,SuggestedPath,Reasons
AP39U9529,"BAYYAVARAM -> BHANJANAGAR",ONWARD,2026-03-30T02:06,2026-03-30T22:54,222.9,555,24.0972972972973,189.19363683370443,151.3154575180945,37.87817931560994,123.25997090963683,false,false,true,false,48.77685818133176,MEDIUM,"Rayagada-Bhawanipatna Road, Bissamcuttack, Rayagada, Odisha -> IACR College Road, Sai Priya Nagar, Rayagada, Rayagada, Odisha -> Chilakapalem Ramabhadrapuram Rayagada Road, Rambadrapuram, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Mettavalasa, Vizianagaram, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, Manapuram, Vizianagaram, Andhra Pradesh -> National Highway 26, Vizianagaram, Andhra Pradesh","[GPS movement pattern deviated from normal route behavior by 123.26%.]"
AP39U9649,"BAYYAVARAM -> CHHATRAPUR",ONWARD,2026-03-31T06:41,2026-03-31T14:33,4.299999999999999,71,3.6338028169014076,3.3501280123579287,3.0341871801697415,0.31594083218818714,63.49215720186854,false,false,true,false,39.1897328620762,MEDIUM,"SAGAR CEMENTS LIMITED BAYAVARRAM -> PST BUNK OFFICE - BAYYAVARAM","[GPS movement pattern deviated from normal route behavior by 63.49%.]"
AP39U9529,"BAYYAVARAM -> CHHATRAPUR",ONWARD,2026-03-18T07:40,2026-03-18T19:43,263.4,550,28.734545454545454,237.99895095529962,239.80568474505745,-1.8067337897578284,63.41334362815496,true,true,true,false,34.450734167351484,MEDIUM,"SAGAR CEMENTS LIMITED BAYAVARRAM -> Vizag - Srikakulam Highway, Natavalasa, Vizianagaram, Andhra Pradesh -> Vizag - Srikakulam Highway, Arinam Akkivalasa, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Kesaripada, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Karapadu, Srikakulam, Andhra Pradesh","[GPS movement pattern deviated from normal route behavior by 63.41%., Trip duration was higher than the normal duration for this route.]"
AP39U9649,"BAYYAVARAM -> BALUGAON",ONWARD,2026-03-17T04:56,2026-03-18T00:25,264.49999999999994,598,26.538461538461533,215.7542828132762,123.03939615874444,92.71488665453177,27.651684478886846,true,false,false,true,33.480538044972775,MEDIUM,"BahinipatiKerada, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Dhanunjayapuram, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Surammapeta, Vizianagaram, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, S. Burjavalasa, Vizianagaram, Andhra Pradesh -> National Highway 26, Vizianagaram, Andhra Pradesh -> Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh","[Vehicle traveled 92.71 km more than the learned shortest GPS path.]"
AP39U9629,"BAYYAVARAM -> BHANJANAGAR",ONWARD,2026-03-13T06:39,2026-03-13T23:16,263.2,534,29.573033707865164,209.4210097829015,122.59330498502706,86.82770479787445,35.53826424848653,true,false,true,true,32.355911168218505,MEDIUM,"BahinipatiKerada, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Sitanagaram, Vizianagaram, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, Marrivalasa, Vizianagaram, Andhra Pradesh -> Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh","[Vehicle traveled 86.83 km more than the learned shortest GPS path., GPS movement pattern deviated from normal route behavior by 35.54%.]"
AP39U9649,"BAYYAVARAM -> PIPALAGUDA",ONWARD,2026-03-01T05:06,2026-03-01T22:07,267.29999999999995,540,29.699999999999996,216.82172668245627,76.80187328223877,140.0198534002175,0.0,true,false,false,true,32.28916574520272,MEDIUM,"Vizag - Srikakulam Highway, Natavalasa, Vizianagaram, Andhra Pradesh -> SAGAR CEMENTS LIMITED BAYAVARRAM","[Vehicle traveled 140.02 km more than the learned shortest GPS path.]"
AP39U9629,"BAYYAVARAM -> MUNIGUDA",ONWARD,2026-03-03T00:01,2026-03-04T00:03,294.5,672,26.294642857142858,253.25078122535177,146.8609967684438,106.38978445690796,17.43420969189194,true,false,false,true,30.686273925520627,MEDIUM,"Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, Marrivalasa, Vizianagaram, Andhra Pradesh -> Chilakapalem Ramabhadrapuram Rayagada Road, Sitanagaram, Vizianagaram, Andhra Pradesh -> BahinipatiKerada, Vizianagaram, Andhra Pradesh -> Rayagada-Bhawanipatna Road, Kasturi Nagar, Rayagada, Rayagada, Odisha","[Vehicle traveled 106.39 km more than the learned shortest GPS path.]"
AP39U9529,"BAYYAVARAM -> BALUGAON",ONWARD,2026-03-18T07:40,2026-03-18T19:43,263.4,550,28.734545454545454,237.99895095529962,239.80568474505745,-1.8067337897578284,81.19660614862902,false,false,true,false,26.155547234284874,LOW,"SAGAR CEMENTS LIMITED BAYAVARRAM -> Vizag - Srikakulam Highway, Natavalasa, Vizianagaram, Andhra Pradesh -> Vizag - Srikakulam Highway, Arinam Akkivalasa, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Kesaripada, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Karapadu, Srikakulam, Andhra Pradesh","[GPS movement pattern deviated from normal route behavior by 81.20%.]"
AP39U9519,"BAYYAVARAM -> GUDARI-RAYGARADA",ONWARD,2026-03-24T05:52,2026-03-24T23:20,296.3,561,31.689839572192515,266.0204623199415,130.83450219848697,135.1859601214545,0.0,true,false,false,true,25.408940151165332,LOW,"Srikakulam-Narasannapeta Road, Madapam, Srikakulam, Andhra Pradesh -> Vizag - Srikakulam Highway, Budumuru, Srikakulam, Andhra Pradesh -> Palakonda, Parvathipuram Manyam, Andhra Pradesh -> Calingapatnam Srikakulam Parvathipuram Road, Palakonda, Srikakulam, Andhra Pradesh -> Palakonda - Kothuru Road, Haddubhangi, Srikakulam, Andhra Pradesh -> Palkonda Road, Appalapatnayakuni Peta, Srikakulam, Andhra Pradesh -> Vizag - Srikakulam Highway, Srikakulam, Srikakulam, Andhra Pradesh","[Vehicle traveled 135.19 km more than the learned shortest GPS path.]"
AP39U9629,"BAYYAVARAM -> RAYAGADDA",ONWARD,2026-03-11T04:15,2026-03-12T00:59,401.1,796,30.233668341708544,356.21763459051965,253.64740964257686,102.57022494794279,23.963066317152784,true,false,false,true,25.10155852474432,LOW,"Srikakulam - Ichchapuram Highway, Karapadu, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Kesaripada, Srikakulam, Andhra Pradesh -> Srikakulam - Ichchapuram Highway, Srikakulam, Andhra Pradesh -> Vizag - Srikakulam Highway, Arinam Akkivalasa, Srikakulam, Andhra Pradesh -> Bheemunipatnam Narsipatnam Road, Visakhapatnam, Vishakhapatnam, Andhra Pradesh -> Raipur - Jagdalpur - Vishakhapatnam road, Marrivalasa, Vizianagaram, Andhra Pradesh","[Vehicle traveled 102.57 km more than the learned shortest GPS path.]"
